Dir_ID,Director_Name
D001,Dan Trachtenberg
D002,Michael Bay
D003,Mitchell Altieri
D004,Raja Menon
D005,James Bobin
D006,Robert Schwentke
D007,Darren Lynn Bousman
D008,Danny Perez
D009,Jon Lucas
D010,Zack Snyder
D011,Timur Bekmambetov
D012,Travis Zariwny
D013,Anthony Russo
D014,Rawson Marshall Thurber
D015,Michael Winnick
D016,Enrique Begne
D017,Ariel Vromen
D018,Tim Miller
D019,Dan Mazer
D020,Dexter Fletcher
D021,Michael Tiddes
D022,Warren Sheppard
D023,Rob Hawk
D024,Stephen Frears
D025,Gary Ross
D026,Paul Feig
D027,Harold Cronk
D028,Alex Proyas
D029,Hideaki Anno
D030,Ethan Coen
D031,Jonathan Jakubowicz
D032,Christian Ditter
D033,Chuck Russell
D034,Roland Emmerich
D035,James Schamus
D036,Thomas Lilti
D037,Gavin O'Connor
D038,Paul Greengrass
D039,Peter Atencio
D040,John Stockwell
D041,Justin Tipping
D042,Alessandro Carloni
D043,David F. Sandberg
D044,Babak Najafi
D045,Thea Sharrock
D046,Jeff Nichols
D047,Patricia Riggen
D048,Shintaro Shimosawa
D049,Jodie Foster
D050,Bruce Beresford
D051,Kirk Jones
D052,Nicholas Stoller
D053,Henry Joost
D054,Jon M. Chu
D055,John H. Lee
D056,Susanna White
D057,David Lowery
D058,Burr Steers
D059,Stephen Hopkins
D060,Zack Ward
D061,Tim Story
D062,Kevin Reynolds
D063,Joel Paul Reisig
D064,Greg Tiernan
D065,Justin Lin
D066,David Ayer
D067,Dave Green
D068,J Blakeson
D069,Clay Kaytis
D070,Steven Spielberg
D071,Nate Parker
D072,Ben Falcone
D073,William Brent Bell
D074,James Wan
D075,Alex Ranarivelo
D076,Craig Gillespie
D077,Jason Zada
D078,Cedric Nicolas-Troyan
D079,Brad Furman
D080,Jon Favreau
D081,David Yates
D082,Luke Dye
D083,Warren P. Sonoda
D084,Nicolas Winding Refn
D085,Bille Woodruff
D086,James DeMonaco
D087,Yarrow Cheney
D088,Jaume Collet-Serra
D089,Phil Joanou
D090,Hong-jin Na
D091,Cyrus Nowrasteh
D092,John Hillcoat
D093,Kim Nguyen
D094,Duncan Jones
D095,Bryan Singer
D096,Kevin Smith
D097,Ben Stiller
D098,Bobby Farrelly
D099,Jay Roach
D100,Christopher Nolan
D101,George Tillman Jr.
D102,Jon Gunn
D103,Don Kempf
D104,Donald Petrie
D105,Brian De Palma
D106,John Woo
D107,Jay Russell
D108,Steve Carr
D109,Fabián Bielinsky
D110,Neil LaBute
D111,Peter Segal
D112,Joel Coen
D113,Julien Temple
D114,Mimi Leder
D115,David Twohy
D116,Kunihiko Yuyama
D117,Ed Harris
D118,Taylor Hackford
D119,Robert Lee King
D120,Philip Kaufman
D121,Brian Robbins
D122,Antony Hoffman
D123,John Frankenheimer
D124,Boaz Yakin
D125,Darren Aronofsky
D126,Bonnie Hunt
D127,Todd Phillips
D128,Andrzej Bartkowiak
D129,Stig Bergqvist
D130,Wes Craven
D131,Scott Alexander
D132,Jonathan Glazer
D133,E. Elias Merhige
D134,John Singleton
D135,Tom Dey
D136,Woody Allen
D137,Guy Ritchie
D138,Chris Koch
D139,Maggie Greenwald
D140,Clint Eastwood
D141,Walter Hill
D142,Gary Winick
D143,Roger Spottiswoode
D144,Des McAnuff
D145,Christian Duguay
D146,Danny Boyle
D147,Greg Berlanti
D148,Tarsem Singh
D149,Jafar Panahi
D150,Michael Winterbottom
D151,Rod Lurie
D152,Michael Dinner
D153,Mark Dindal
D154,Brett Ratner
D155,Brian Levant
D156,Terence Davies
D157,Mary Lambert
D158,Jon Turteltaub
D159,Reginald Hudlin
D160,Robert Redford
D161,Uli Edel
D162,John Schlesinger
D163,Spike Lee
D164,Wolfgang Petersen
D165,Howard Deutch
D166,Bibo Bergeron
D167,Britt Allcroft
D168,Don Bluth
D169,Steven Soderbergh
D170,Jonathan Mostow
D171,M. Night Shyamalan
D172,John Ottman
D173,Jon Shear
D174,Martin Campbell
D175,Robert Zemeckis
D176,Mike Nichols
D177,Nancy Meyers
D178,David Raynr
D179,Matt Williams
D180,Peter M. Cohen
D181,J.B. Rogers
D182,Joe Roth
D183,Luis Mandoki
D184,Peter Howitt
D185,Gary Trousdale
D186,Pan Nalin
D187,Barry Levinson
D188,Scott Hicks
D189,John Cameron Mitchell
D190,Mel Smith
D191,Jesse Dylan
D192,Jessie Nelson
D193,Gary Fleder
D194,Todd Field
D195,Richard Eyre
D196,Keenen Ivory Wayans
D197,John Whitesell
D198,Peter Chelsom
D199,Brad Anderson
D200,Chris Columbus
